"index"	"image_path"	"hint"	"question"	"answer"	"category"
"0"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does this image depict a well-lit, welcoming entrance to a family home?"	"No"	"Scene Understanding"
"1"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this location likely intended as a high-security access point to a restricted area?"	"Yes"	"Scene Understanding"
"2"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this a recreational area designed for relaxation and comfort?"	"No"	"Scene Understanding"
"3"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this an outdoor public walkway with scenic surroundings?"	"No"	"Scene Understanding"
"4"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a door visible in the scene?"	"Yes"	"Detailed Object Presence"
"5"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible text or logo on the image?"	"Yes"	"Detailed Object Presence"
"6"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a window present in the scene?"	"No"	"Detailed Object Presence"
"7"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a visible ceiling with lighting in the scene?"	"Yes"	"Detailed Object Presence"
"8"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the door in the scene a solid, dark color?"	"Yes"	"Instance Attributes"
"9"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the walls in the scene are painted white?"	"Yes"	"Instance Attributes"
"10"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the ceiling have a rough, unfinished texture?"	"Yes"	"Instance Attributes"
"11"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does the floor have a carpet covering?"	"No"	"Instance Attributes"
"12"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the door located at the center of the image?"	"Yes"	"Instance Location w.r.t. Image"
"13"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the light source positioned at the top of the image?"	"Yes"	"Instance Location w.r.t. Image"
"14"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the walls primarily located on the right side of the image?"	"No"	"Instance Location w.r.t. Image"
"15"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the floor visible at the bottom of the image?"	"Yes"	"Instance Location w.r.t. Image"
"16"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the door located below the light source?"	"Yes"	"Instance Spatial Relation"
"17"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the walls positioned on both sides of the door?"	"Yes"	"Instance Spatial Relation"
"18"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the circular feature on the door located above the door handle?"	"No"	"Instance Spatial Relation"
"19"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the ceiling positioned above the walls?"	"Yes"	"Instance Spatial Relation"
"20"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there only one door in the image?"	"Yes"	"Instance Counting"
"21"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there three walls visible in the image?"	"No"	"Instance Counting"
"22"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there only one circular feature visible on the door?"	"Yes"	"Instance Counting"
"23"	"Data/Source 1/Basement door/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there two light sources visible in the image?"	"No"	"Instance Counting"
